set MILESTONES:= S M11 M12 M13 M14 I1 M25 M26 M27 M28 I2 T;

set TASKS :=
S M11
S M12
S M13
S M14
M11 I1
M12 I1
M13 I1
M14 I1
I1 M25
I1 M26
I1 M27
I1 M28
M25 I2
M26 I2
M27 I2
M28 I2
I2 T
;

set REAL_TASKS :=
S M11
S M12
S M13
S M14
I1 M25
I1 M26
I1 M27
I1 M28
I2 T
;

param b0 = 200;
param alpha = 0.7;
param r = 15;

param normal_costs :=
S M11 74
S M12 10
S M13 82
S M14 18
M11 I1 0
M12 I1 0
M13 I1 0
M14 I1 0
I1 M25 30
I1 M26 40
I1 M27 51
I1 M28 58
M25 I2 0
M26 I2 0
M27 I2 0
M28 I2 0
I2 T 44
;

param crash_costs :=
S M11 88
S M12 226
S M13 117
S M14 294
M11 I1 0
M12 I1 0
M13 I1 0
M14 I1 0
I1 M25 262
I1 M26 154
I1 M27 68
I1 M28 135
M25 I2 0
M26 I2 0
M27 I2 0
M28 I2 0
I2 T 80
;

param normal_duration :=
S M11 40
S M12 76
S M13 118
S M14 80
M11 I1 0
M12 I1 0
M13 I1 0
M14 I1 0
I1 M25 46
I1 M26 27
I1 M27 111
I1 M28 23
M25 I2 0
M26 I2 0
M27 I2 0
M28 I2 0
I2 T 50

;


param crash_duration :=
S M11 22
S M12 43
S M13 71
S M14 43
M11 I1 0
M12 I1 0
M13 I1 0
M14 I1 0
I1 M25 32
I1 M26 25
I1 M27 32
I1 M28 6
M25 I2 0
M26 I2 0
M27 I2 0
M28 I2 0
I2 T 13

;
